Retsku	Product Title	Detailed Description	Categorization	Product URL	Primary Image URL	Selling Price	Regular Price	Condition	Availability	Manufacturer Name	Manufacturer Part Number	UPC	Shipping Cost	Weight
INK-Canon-CL-31	Canon CL31 Inkjet Cartridge Tri-color	Replacement for Canon CL-31 CL31 Color Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-CL-31&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-CL-31.jpg	13.9900	22.9900	New	Yes	Canon	CL-31		3.99	0.1475
INK-Canon-CL-41	Canon CL41 Inkjet Cartridge Tri-color	Replacement for Canon CL-41 CL41 Color Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-CL-41&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-CL-41.jpg	15.9900	28.9900	New	Yes	Canon	CL-41	013803051278	3.99	0.141875
INK-Canon-CL-51	Canon CL51 Inkjet Cartridge Tri-color	Replacement for Canon CL-51 CL51 High Capacity Color Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-CL-51&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-CL-51.jpg	16.9900	30.9900	New	Yes	Canon	CL-51	700371412241	3.99	0.139375
INK-Canon-CLI-226M	Canon CLI-226M Inkjet Cartridge Magenta	(With Chip) Compatible Canon CLI-226M CLI226M Magenta Inkjet Cartridge for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-CLI-226M&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-CLI-226M.jpg	4.9900	13.9900	New	Yes	Canon	CLI-226M	013803124286	3.99	0.059375
INK-Canon-CLI-226Y	Canon CLI-226Y Inkjet Cartridge Yellow	(With Chip) Compatible Canon CLI-226Y CLI226Y Yellow Inkjet Cartridge for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-CLI-226Y&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-CLI-226Y.jpg	4.9900	13.9900	New	Yes	Canon	CLI-226Y	013803124316	3.99	0.06
INK-Canon-PFI-102MBK	Canon PFI-102MBK Matte Black Inkjet Cartridge	Compatible Canon 0894B001AA (PFI-102MBK) Matte Black Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PFI-102MBK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PFI-102MBK.jpg	54.9900	94.9900	New	Yes	Canon	PFI-102MBK		0.00	0.493125
INK-Canon-PFI-704MBK	Canon PFI-704MBK Matte Black Inkjet Cartridge	Compatible Canon 3860B001AA (PFI-704MBK) Matte Black Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PFI-704MBK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PFI-704MBK.jpg	139.9900	264.9900	New	Yes	Canon	PFI-704MBK		0.00	2.025
INK-Canon-PFI-704R	Canon PFI-704R Red Inkjet Cartridge	Compatible Canon 3867B001AA (PFI-704R) Red Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PFI-704R&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PFI-704R.jpg	139.9900	264.9900	New	Yes	Canon	PFI-704R		0.00	2.025
INK-Canon-PFI-706B	Canon PFI-706B Blue Inkjet Cartridge	Compatible Canon 6689B001AA (PFI-706B) High-Yield Blue Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PFI-706B&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PFI-706B.jpg	149.9900	329.9900	New	Yes	Canon	PFI-706B		0.00	2.11
INK-Canon-PFI-706C	Canon PFI-706C Cyan Inkjet Cartridge	Compatible Canon 6682B001AA (PFI-706C) High-Yield Cyan Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PFI-706C&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PFI-706C.jpg	149.9900	329.9900	New	Yes	Canon	PFI-706C		0.00	2.13
INK-Canon-PG-210	Canon PG-210 Inkjet Cartridge Black	Replacement for Canon PG-210 PG210 Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-210&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-210.jpg	14.9900	18.9900	New	Yes	Canon	PG-210	013803099003	3.99	0.126875
INK-Canon-PG-210XL	Canon PG-210XL Inkjet Cartridge Black	Replacement for Canon PG-210XL PG210XL High Yield Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-210XL&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-210XL.jpg	16.9900	21.9900	New	Yes	Canon	PG-210XL	013803098990	3.99	0.126875
INK-Canon-PG-240	Canon PG-240 Inkjet Cartridge Black	Replacement for Canon PG-240 PG240 Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-240&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-240.jpg	15.9900	22.9900	New	Yes	Canon	PG-240		3.99	0.143125
INK-Canon-PG-240XL	Canon PG-240XL Inkjet Cartridge Black	Replacement for Canon PG-240XL PG240XL High Yield Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-240XL&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-240XL.jpg	18.9900	24.9900	New	Yes	Canon	PG-240XL		3.99	0.151875
INK-Canon-PG-240XXL	Canon PG-240XXL Inkjet Cartridge Black	Replacement for Canon PG-240XXL PG240XXL Extra High Yield Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-240XXL&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-240XXL.jpg	23.9900	39.9900	New	Yes	Canon	PG-240XXL		3.99	0.10875
INK-Canon-PG-30	Canon PG30 Inkjet Cartridge Black	Replacement for Canon PG-30 PG30 Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-30&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-30.jpg	11.9900	17.9900	New	Yes	Canon	PG-30	013803078404	3.99	0.13375
INK-Canon-PG-40	Canon PG40 Inkjet Cartridge Black	Replacement for Canon PG-40 PG40 Black Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PG-40&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PG-40.jpg	12.9900	25.9900	New	Yes	Canon	PG-40	013803051254	3.99	0.14125
INK-Canon-PGI-220BK	Canon PGI-220Bk Inkjet Cartridge Black	(With Chip) Compatible Canon PGI-220BK PGI220BK Pigment Black Inkjet Cartridge for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PGI-220BK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PGI-220BK.jpg	4.9900	14.9900	New	Yes	Canon	PGI-220BK	013803094503	3.99	0.093125
INK-Canon-PGI-225BK	Canon PGI-225BK Inkjet Cartridge Black	(With Chip) Compatible Canon PGI-225BK PGI225BK Pigment Black Inkjet Cartridge for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PGI-225BK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PGI-225BK.jpg	4.9900	15.9900	New	Yes	Canon	PGI-225BK	013803124262	3.99	0.0925
INK-Canon-PGI-250XLBK	Canon PGI-250XL HY Black Inkjet Cartridge	(With Chip) Compatible Canon PGI-250XL High Yield Pigment Black Inkjet Cartridge PGI250XL 6432B001 for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PGI-250XLBK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PGI-250XLBK.jpg	4.9900	12.9900	New	Yes	Canon	PGI-250XLBK	013803151343	3.99	0.121875
INK-Canon-PGI-35	Canon PGI-35 Inkjet Cartridge Black	(With Chip) Compatible Canon PGI-35 Black Inkjet Cartridge for Canon Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PGI-35&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PGI-35.jpg	4.9900	19.9500	New	Yes	Canon	PGI-35	700371412173	3.99	0.06
INK-Canon-PGI-5BK	Canon PGI-5Bk Inkjet Cartridge Black	(With Chip) New Compatible Canon PGI5 Series (PGI5BK Pigment Black) PGI-5BK High Capacity Inkjet Cartridge for Pixma Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Canon-PGI-5BK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Canon-PGI-5BK.jpg	4.9900	19.9500	New	Yes	Canon	PGI-5BK	013803051209	3.99	0.13125
INK-Dell-2T2PT	Dell 2T2PT (Series 34) EHY Black Ink cartridge	Compatible (Series 34) Extra High Yield Black Ink Cartridge 2T2PT for Dell V525w & V725w Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-2T2PT&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-2T2PT.jpg	6.9900	17.9900	New	Yes	Dell	2T2PT		3.99	0.135625
INK-Dell-DW906	Dell DW906 (Series 20) Tri-Color Ink cartridge	Compatible (Series 20) Color Ink Cartridge DW906 for Dell Photo P703W Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-DW906&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-DW906.jpg	8.9900	22.9900	New	Yes	Dell	DW906		3.99	0.29625
INK-Dell-T0601	Dell T0601 (Series 3) Black Ink cartridge	Replacement for Dell Black T0601 (Series 3) Inkjet Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-T0601&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-T0601.jpg	13.9900	34.9500	New	Yes	Dell	T0601	6017238253201	3.99	0.20625
INK-Dell-T9FKK	Dell T9FKK (Series 33) EHY Black Ink cartridge	Compatible (Series 33) Extra High Yield Black Ink Cartridge T9FKK for Dell V525w & V725w Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-T9FKK&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-T9FKK.jpg	6.9900	27.9900	New	Yes	Dell	T9FKK		3.99	0.135625
INK-Dell-Y498D	Dell Y498D (Series 21) Black Ink cartridge	Compatible (Series 21) Black Ink Cartridge Y498D for Dell V313 Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-Y498D&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-Y498D.jpg	6.9900	41.9900	New	Yes	Dell	Y498D	1325836263863	3.99	0.113125
INK-Dell-Y499D	Dell Y499D (Series 21) Tri-Color Ink cartridge	Compatible (Series 21) Color Ink Cartridge Y499D for Dell V313 Printers	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Dell-Y499D&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Dell-Y499D.jpg	8.9900	46.9900	New	Yes	Dell	Y499D		3.99	0.1875
INK-Epson-T078120	Epson T078120 Black Inkjet Cartridge	Remanufactured Epson #77/78 T077120/T078120 (T0771/T0781) Black Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T078120&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Epson-T078120.jpg	5.9900	19.9900	Refurbished	Yes	Epson	T078120	010343860698	3.99	0.081875
INK-Epson-T097120	Epson T097120 Extra HY Black Inkjet Cartridge	Remanufactured Epson #97 T097120 (T0971) Extra High Yield Black Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T097120&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Epson-T097120.jpg	6.9900	18.9900	Refurbished	Yes	Epson	T097120	010343868069	3.99	0.145
INK-Epson-T098120	Epson T098120 Black Inkjet Cartridge	Remanufactured Epson #98/99 T098120/T099120 (T0981/T0991) High Yield Black Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T098120&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Epson-T098120.jpg	5.9900	19.9900	Refurbished	Yes	Epson	T098120	010343868106	3.99	0.076875
INK-Epson-T098520	Epson T098520 Light Cyan Inkjet Cartridge	Remanufactured Epson #98/99 T098520/T099520 (T0985/T0995) High Yield Light Cyan Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T098520&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Epson-T098520.jpg	5.9900	19.9900	Refurbished	Yes	Epson	T098520	010343868144	3.99	0.081875
INK-Epson-T126120	Epson T126120 Black Inkjet Cartridge	Remanufactured Epson #126 T126120 (T1261) High Yield Black Pigment Based Ink Cartridge	Computers > Printers & Scanners > Ink & Toner	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T126120&utm_source=pricegrabber&utm_medium=shoppingengine&utm_campaign=pricegrabbershopping	http://www.compandsave.com/v/vspfiles/photos/original/INK-Epson-T126120.jpg	6.9900	16.9900	Refurbished	Yes	Epson	T126120	010343876286	3.99	0.083125
